Experiment.Accession,Experiment.Title,Organism.Name,Instrument,Submitter,Study.Accession,Study.Title,Sample.Accession,Sample.Title,Total.Size..Mb,Total.RUNs,Total.Spots,Total.Bases,Library.Name,Library.Strategy,Library.Source,Library.Selection
SRX15327110,ZGC,Camellia rhytidocarpa,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055585,,2069.99,1,23082830,6897047686,(8-3),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327109,LPLGC,Camellia lipingensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055584,,2243.97,1,25157837,7523581262,(8-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327108,LGC,Camellia tuberculata,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055583,,2223.05,1,25097693,7502479498,(8-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327107,XSZC,Camellia liberistyloides,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055582,,2050.03,1,23007720,6879693126,(2-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327105,CQSC,Camellia chungkingensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055580,,2118.02,1,22994301,6868132612,(7-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327104,BSEC,Camellia szechuanensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055579,,2106.44,1,22858459,6851101794,(7-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327103,XHHC,Camellia luteoflora,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055578,,2607.32,1,28841933,8625217786,(6-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327102,DADZC,Camellia tenii,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055577,,2047.29,1,22250427,6666851586,(5-12),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327100,DYDZC,Camellia obtusifolia,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055575,,2212.5,1,24495143,7313124472,(5-8),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327099,DHDZC,Camellia hiemalis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055574,,2032.13,1,22749792,6776301250,(5-7),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327096,DS,Camellia arborescens,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055571,,1747.76,1,19115429,5137523156,(13-17),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327085,MG,Camellia makuanica,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055559,,1710.85,1,18905721,5079875951,(13-5),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327080,ZYSC,Camellia indochinensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055556,,1959.8,1,21669557,6465714556,(12-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327077,PGJHC,Camellia pingguoensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055552,,1935.94,1,21134070,6317280060,(11-12),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327076,NGJHC,Camellia grandis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055551,,1672.94,1,17967528,5358960546,(11-7),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327074,DZC,Camellia brevistyla,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055549,,2039.6,1,22191060,6631051508,(5-6),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327073,ZYDZC,Camellia fluviatilis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055548,,2034.48,1,22453441,6710563562,(5-5),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327072,WZDSC,Camellia yunnanensis,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055547,,586.5,1,6167568,1840130928,(2-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327071,LBDZC,Camellia kissii,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055545,,2007.26,1,21849677,6548181386,(5-4),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327070,XGDZC,Camellia confusa,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055546,,2083.28,1,23355569,6979808520,(5-3),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327068,XCGC,Camellia parafurfuracea,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055543,,1821.72,1,20672513,6181050130,(4-10),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327067,YYCGC,Camellia gaudichaudii,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055542,,2569.91,1,28687421,8567642586,(4-7),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327066,BCGC,Camellia oblata,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055541,,2086.24,1,23752772,7096106126,(4-6),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327065,CGC,Camellia furfuracea,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055540,,2563.89,1,28617288,8540811632,(4-5),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327064,DBCGC,Camellia multibracteata,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055539,,1697.88,1,19355118,5781233012,(4-4),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327063,HPCGC,Camellia crapnelliana,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055538,,2195.85,1,24715812,7342029054,(4-3),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327061,LYMRC,Camellia salicifolia,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055536,,1801.27,1,19877796,5958614870,(17-4),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327060,XYMRC,Camellia cordifolia,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055535,,2617.65,1,28269265,8433562752,(17-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327059,SCMRC,Camellia lawii,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055534,,2178.13,1,24502896,7325931258,(17-1),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327058,XCWLRC,Camellia parvicaudata,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055531,,2298.79,1,25782688,7709926686,(16-24),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327056,ZELRC,Camellia campanisepala,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055529,,2084.56,1,23197388,6937757278,(16-21),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327055,CGLRC,Camellia elongata,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055528,,1988.44,1,22262649,6660228942,(16-20),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327054,QBLRC,Camellia septempetala,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055533,,2190.95,1,24341283,7268115362,(16-19),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15327052,DBSC,Camellia albogigas,Illumina NovaSeq 6000,Anhui Agricultural University,SRP375867,Pan-transcriptomes of Camellia plants,SRS13055527,,2112.82,1,23785278,7099441700,(1-2),RNA-Seq,TRANSCRIPTOMIC,size fractionation
SRX15328965,Integrated Metabolomics and Transcriptomics Analysis Reveals Anthocyanins and Carotenoids Involved in Color Development in Willow Bark,Salix miyabeana,Illumina HiSeq 2500,Jiangsu Academy of Forestry,SRP375909,Integrated Metabolomics and Transcriptomics Analysis Reveals Anthocyanins and Carotenoids Involved in Color Development in Willow Bark,SRS13057365,,2734.81,1,30201492,9060447600,R2,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX15325312,Dryobalanops lanceolata RNA-Seq,Dryobalanops lanceolata,Illumina HiSeq 4000,IPB University,SRP375861,Transcriptome analysis of Dryobalanops aromatica and Dryobalanops lanceolata,SRS13053759,,1288.99,1,13845549,4153664700,DL-IZS02,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX15298301,Luquillo Experimental Forest Woody Plant Transcriptomes,Drypetes glauca,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025115,,2723.05,1,22441553,6732465900,DRYGLA,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298300,Luquillo Experimental Forest Woody Plant Transcriptomes,Paullinia pinnata,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025114,,3486.71,1,28605204,8581561200,PAUPIN,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298299,Luquillo Experimental Forest Woody Plant Transcriptomes,Sloanea berteroana,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025113,,3353.63,1,27058950,8117685000,SLOBER,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298298,Luquillo Experimental Forest Woody Plant Transcriptomes,Matayba domingensis,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025112,,4207.12,1,34823376,10447012800,MATDOM,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298297,Luquillo Experimental Forest Woody Plant Transcriptomes,Smilax coriacea,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025111,,4593.9,1,36995039,11098511700,SMICOR,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298295,Luquillo Experimental Forest Woody Plant Transcriptomes,Tabebuia heterophylla,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025109,,2070.02,1,18909639,5672891700,TABHET,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298294,Luquillo Experimental Forest Woody Plant Transcriptomes,Trichilia pallida,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025108,,11090.74,1,107611642,32283492600,TRIPAL,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298292,Luquillo Experimental Forest Woody Plant Transcriptomes,Guarea guidonia,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025106,,4908.52,1,50111627,15033488100,GUAGUI,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298290,Luquillo Experimental Forest Woody Plant Transcriptomes,Dolichandra unguis-cati,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025104,,7324.69,1,72340744,21702223200,DOLUNG,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298289,Luquillo Experimental Forest Woody Plant Transcriptomes,Garcinia portoricensis,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025102,,3852.02,1,29086442,8725932600,RHEPOR,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298288,Luquillo Experimental Forest Woody Plant Transcriptomes,Andira inermis,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025103,,3129.14,1,23587091,7076127300,ANDINE,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298287,Luquillo Experimental Forest Woody Plant Transcriptomes,Croton poecilanthus,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025101,,4021.37,1,32921947,9876584100,CROPOE,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298286,Luquillo Experimental Forest Woody Plant Transcriptomes,Comocladia glabra,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025100,,2598.28,1,22393592,6718077600,COMGLA,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298285,Luquillo Experimental Forest Woody Plant Transcriptomes,Sapium laurocerasus,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025098,,3297.8,1,24781625,7434487500,SAPLAU,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298284,Luquillo Experimental Forest Woody Plant Transcriptomes,Cecropia schreberiana,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025099,,2741.27,1,22383322,6714996600,CECSCH,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298283,Luquillo Experimental Forest Woody Plant Transcriptomes,Casearia sylvestris,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025097,,5188.62,1,42368078,12710423400,CASSYL,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298282,Luquillo Experimental Forest Woody Plant Transcriptomes,Dacryodes excelsa,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025096,,2776.73,1,22426871,6728061300,DACEXC,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298281,Luquillo Experimental Forest Woody Plant Transcriptomes,Psychotria brachiata,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025095,,4016.24,1,32673675,9802102500,PSYBRA,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298280,Luquillo Experimental Forest Woody Plant Transcriptomes,Simarouba amara,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025094,,3101.94,1,25145371,7543611300,SIMAMA,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298278,Luquillo Experimental Forest Woody Plant Transcriptomes,Miconia racemosa,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025092,,3697.89,1,29804530,8941359000,MICRAC,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298277,Luquillo Experimental Forest Woody Plant Transcriptomes,Piper glabrescens,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025091,,4120.64,1,32538956,9761686800,PIPGLA,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298275,Luquillo Experimental Forest Woody Plant Transcriptomes,Palicourea croceoides,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025088,,3574.93,1,28635282,8590584600,PALCRO,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298274,Luquillo Experimental Forest Woody Plant Transcriptomes,Ixora ferrea,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025089,,3368.07,1,27303709,8191112700,IXOFER,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298273,Luquillo Experimental Forest Woody Plant Transcriptomes,Cordia borinquensis,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025087,,3558.79,1,28818662,8645598600,CORBOR,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298272,Luquillo Experimental Forest Woody Plant Transcriptomes,Heteropterys laurifolia,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025086,,3855.55,1,31473605,9442081500,HETLAU,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298271,Luquillo Experimental Forest Woody Plant Transcriptomes,Securidaca virgata,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025085,,3831.55,1,31575822,9472746600,SECVIR,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298270,Luquillo Experimental Forest Woody Plant Transcriptomes,Syzygium jambos,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025084,,3873.9,1,31092066,9327619800,SYZJAM,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298269,Luquillo Experimental Forest Woody Plant Transcriptomes,Ormosia krugii,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025083,,4049.91,1,33302876,9990862800,ORMKRU,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298268,Luquillo Experimental Forest Woody Plant Transcriptomes,Inga vera,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025082,,3500.71,1,28330066,8499019800,INGVER,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298267,Luquillo Experimental Forest Woody Plant Transcriptomes,Eugenia stahlii,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025081,,4203.06,1,33454374,10036312200,EUGSTA,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298266,Luquillo Experimental Forest Woody Plant Transcriptomes,Casearia arborea,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025080,,3707.22,1,28046653,8413995900,CASARB,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298265,Luquillo Experimental Forest Woody Plant Transcriptomes,Homalium racemosum,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025079,,3466.82,1,28624590,8587377000,HOMRAC,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298264,Luquillo Experimental Forest Woody Plant Transcriptomes,Ocotea leucoxylon,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025078,,3727.08,1,29726857,8918057100,OCOLEU,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298263,Luquillo Experimental Forest Woody Plant Transcriptomes,Psychotria deflexa,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025077,,2649.89,1,21682096,6504628800,PSYDEF,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298261,Luquillo Experimental Forest Woody Plant Transcriptomes,Byrsonima spicata,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025074,,3886.67,1,31143422,9343026600,BYRSPI,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15298260,Luquillo Experimental Forest Woody Plant Transcriptomes,Roystonea borinquena,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025075,,3888.11,1,30650534,9195160200,ROYBOR,RNA-Seq,TRANSCRIPTOMIC,PCR
